的	白勺
哦	口我
挺	扌廴千土
王	王
圖	圍口十回
掉	扌卜日十
路	足夂口
正	正
外	夕卜
二	二
頭	豆頁
應	广人隹心
生	生
心	心
因	圍大
子	子
強	弓厶虫
類	米犬頁
作	人乍
送	辵䒑大
書	聿日
每	每
法	水去
乖	千北
拍	扌白
市	市
撒	扌木月攴
至	至
接	扌辛女
美	羊大
表	表
未	未
辦	辛力辛
非	非
級	糸及
即	食卩
哎	口艸乂
此	止匕
差	差
版	爿反
併	人并
副	畐刀
系	丿糸
收	丩攴
男	田力
俺	人大申
字	宀子
兩	一内内
股	月殳
轉	車專
便	人更
考	耂丂
塊	土鬼
線	糸白水
手	手
黃	黃
道	辵首
米	米
座	广从土
豬	豕者
聊	耳卯
取	耳又
低	人氐
難	堇隹
哇	口土土
兒	臼儿
受	爪舟又
包	勹巳
阿	阜可
喝	口日勹亡
白	白
金	金
四	四
近	辵斤
管	竹宀㠯
定	宀正
傳	人專
門	門
樣	木羊永
夠	多丩口
交	交
李	木子
笑	竹丿大
自	自
邊	辵自穴方
型	井刀土
黑	黑
慢	心冃目又
刷	尸巾刀
穿	穴牙
越	走戉
位	人立
貴	廾貝
部	丶不口邑
稱	禾爪魚
處	虎夂几
選	辵卩卩几
站	立卜口
牛	牛
怪	心又土
省	少目
倒	人至刀
談	言火火
曾	曾
羣	尹口羊
經	糸巠
數	婁攴
據	扌虎豕
變	䜌攴
累	田糸
汗	水干
查	木日一
象	象
半	半
陳	阜東
紅	糸工
格	木夂口
五	五
幹	㫃日丁干
樓	木婁
方	方
讀	言出网貝
頂	丁頁
某	甘木
條	人丨攴木
亂	爪幺冂又乚
唔	口五口
馬	馬
遠	辵土口衤
單	單
海	水每
相	木目
熱	屮宀土丮火
光	光
咋	口乍
風	風
且	且
林	木木
滿	水廿内内
額	宀夂口頁
化	化
班	王刀王
滴	水帝口
掛	扌土土卜
關	門幺幺䒑
漲	水弓長
店	广卜口
安	宀女
坐	从土
約	糸勺
飛	乙冫非
劉	卯金刀
度	广廿又
種	禾重
俄	人我
歌	可可欠
報	幸卩又
信	人言
若	艸𠂇口
原	厂白小
文	文
飯	食反
晚	日象儿
量	日一里
村	木寸
式	弋工
空	穴工
山	山
賺	貝兼
毛	毛
重	重
主	主
另	另
間	門日
裡	衤里
貼	貝卜口
入	入
伐	人戈
血	血
盤	舟殳皿
爽	大四乂
隊	阜八豕
楊	木昜
臺	之口冂至
往	行主
片	爿
國	圍戈口一
狗	犬丩口
歲	止戌㐄
費	弓二貝
壞	土衣目水
龍	龍
離	屮乂凵禸隹
共	共
西	西
佔	人卜口
周	用口
超	走刀口
明	日月
媽	女馬
均	土九二
期	其月
達	辵土羊
照	日刀口火
切	七刀
留	卯田
動	重力
特	牛之寸
氣	气米
係	人丿糸
神	示申
鳥	鳥
畫	聿田一
夢	䒑目勹夕
教	爻子攴
哥	可可
甘	甘
蠻	䜌虫
魚	魚
值	人直
鎮	金真
么	丿厶
罵	网馬
陪	阜丶不口
既	食旡
哭	口口犬
力	力
建	廴聿
洗	水先
懂	心艸重
雙	隹隹又
口	口
指	扌旨
東	東
球	王求
仍	人乃
活	水舌
跌	足失
練	糸柬
億	人音心
清	水青
提	扌是
除	阜余
通	辵甬
酒	水酉
貓	豸艸田
餓	食我
票	西示
六	宀
病	疒丙
咩	口羊
假	人叚
久	久
段	厂三殳
平	平
抓	扌爪
套	大長
課	言果
急	𠂊彐心
藥	艸白幺幺木
城	土成
任	人壬
草	艸日十
羅	网糸隹
理	王里
令	令
雨	雨
貨	化貝
唱	口昌
左	𠂇工
藍	艸監
縣	目木丿糸
常	尚巾
色	𠂊卩
搶	扌倉
菜	艸爪木
喲	口糸勺
集	隹木
感	戌口心
房	戶方
較	車交
混	水日比
敢	敢
火	火
臉	月亼口口从
操	扌三口木
南	南
退	辵食
件	人牛
吳	吳
破	石皮
聲	南厂殳耳
德	行十目一心
雪	雨彐
局	尸㇕口
雲	雨云
噢	口宀釆廾
整	束攴正
傻	人囟八夂
華	華
克	克
呃	口厂卩
喊	口戌口
現	王見
跳	足兆
養	羊食
補	衤甫
團	圍專
沈	水冂儿
反	反
樂	白幺幺木
篇	竹戶冊
待	行之寸
砸	石匚巾
深	水网木
煩	火頁
根	木艮
求	求
投	扌殳
電	雨申
親	辛木見
惡	亞心
葉	艸世木
款	出示欠
知	矢口
八	八
配	酉己
器	四口犬
何	人可
率	亠幺⺍十
調	言用口
鬼	鬼
修	人丨攴彡
試	言弋工
謝	言身寸
麪	來夂一𠂊乚
僅	人堇
層	尸曾
面	面
週	辵用口
北	北
木	木
份	人分
記	言己
趙	走小月
情	心青
肉	肉
需	雨而
七	七
論	言亼冊
流	水了巛
噶	口艸日勹亡
招	扌刀口
痛	疒甬
列	歹刀
石	石
香	香
封	土土寸
眼	目艮
易	日勿
冷	冫令
借	人昔
派	水巛卜
帥	㠯巾
付	人寸
十	十
廠	广尚攴
陽	阜昜
樹	木南豆寸
油	水由
胡	古月
排	扌非
停	人京丁
合	亼口
軍	九車
身	身
奧	宀釆廾
章	辛日
科	禾斗
倆	人一内内
星	日生
牌	爿卑
權	木艸口口隹
翻	釆田羽
隨	阜辵𠂇工月
場	土昜
帖	巾卜口
商	商
庫	广車
價	人西貝
物	牛勿
泡	水勹巳
寶	宀王缶貝
玉	玉
體	骨曲豆
追	辵㠯
傷	人𠂉昜
背	北月
腳	月入入口卩
丟	一去
劍	亼口口从刀
解	角刀牛
室	宀至
底	广氐
業	业木
代	人弋
孫	子丿糸
朱	朱
亦	亦
須	彡頁
舊	䒑隹臼
乾	㫃日丁乙
工	工
咱	口自
詞	言司
刀	刀
喔	口尸至
波	水皮
證	言癶豆
鐵	金𢦏口千土
推	扌隹
落	艸水夂口
節	竹食卩
春	艸屯日
輕	車巠
笨	竹本
九	九
輸	車俞
江	水工
短	矢豆
含	今口
千	千
炒	火少
藉	艸耒昔
丫	八丨
徐	行余
騙	馬戶冊
秒	禾少
青	青
耍	而女
夜	夜
許	言午
咁	口甘
吹	口欠
師	㠯一巾
板	木反
土	土
贏	贏
姐	女且
直	直
公	公
苦	艸古
秀	禾乃
博	十甫寸
皮	皮
朝	屮日月
君	尹口
詩	言之寸
爛	火門柬
靜	青爪尹
利	禾刀
素	𠂹糸
立	立
存	才子
燒	火堯
斷	刀四幺斤
吾	五口
虧	虎隹亏
湯	水昜
民	民
極	木二人口又
命	亼口卩
睇	目弋弓
忘	亡心
茶	艸亼小
冰	冫水
供	人共
案	宀女木
田	田
初	衤刀
品	三口
抽	扌由
造	辵牛口
抱	扌勹巳
野	里予
綠	糸彑
項	工頁
獎	爿肉寸犬
胖	月半
緊	臣又糸
故	古攴
服	舟卩又
盡	盡
百	百
兵	斤廾
英	艸冂大
蘇	艸魚禾
般	舟殳
演	水寅
嘴	口止匕角
簽	竹亼口口从
填	土真
果	果
保	人口木
唐	南尹口
雞	爪幺大隹
夏	頁夂
莫	屮日
硬	石更
寒	宀屮人冫
挖	扌穴乙
凡	凡
髮	長彡犮
言	言
題	是頁
防	阜方
街	行土土
距	足巨
挑	扌兆
純	糸屯
鬧	鬥市
欲	谷欠
竟	音儿
源	水厂白小
官	宀㠯
戲	虎豆戈
寄	宀大可
古	古
首	首
思	田心
橋	木丿大京口
燈	火癶豆
郭	京京邑
亮	京儿
干	干
屬	尸毛目勹虫
窮	穴身弓
粉	米分
爆	火日出廾米
韓	中日丁韋
刪	冊刀
戴	𢦏鬼廾
然	肉犬火
衝	行重
疼	疒夂冫
雷	雨田
蓋	艸去皿
港	水共巳
租	禾且
狼	犬良
蘭	艸門柬
狂	犬王
布	布
引	弓丨
壓	厂甘月犬土
亞	亞
捏	扌日土
齊	齊
隻	隹又
賽	宀屮人貝
員	口貝
佛	人弓二
食	食
船	舟公
今	今
恨	心艮
宋	宀木
銀	金艮
猛	犬子皿
客	宀夂口
黨	尚黑
雖	口虫隹
碼	石馬
友	𠂇又
領	令頁
句	丩口
斯	其斤
沙	水少
戰	單戈
哼	口京亠
望	亡月千土
腿	月辵食
沖	水中
丁	丁
園	圍土口衤
祝	示口儿
鄉	乡
牀	爿木
鄭	八酉大邑
界	田介
抗	扌亢
步	步
河	水可
缺	缶夬
賊	貝戈十
尚	尚
似	人㠯人
羊	羊
福	示畐
必	必
遭	辵曹
煙	火西土
否	不口
端	立屮而
設	言殳
猜	犬青
伊	人尹
秦	午廾禾
秋	禾火
毒	丰母
架	力口木
熊	厶肉比火
持	扌之寸
廣	广黃
插	扌干臼
歸	㠯止彐冂巾
折	扌斤
滾	水衣公
靈	雨口口口工从
意	音心
呆	口木
基	其土
困	圍木
圈	圍龹卩
迷	辵米
趕	走日干
踢	足日勿
勝	朕力
史	史
甲	甲
呵	口可
搬	扌舟殳
獲	犬䒑隹又
紙	糸氏
乃	乃
覺	廾爻冂見
右	𠂇口
塔	土艸亼口
準	水隹十
拖	扌𠂉也
摸	扌屮日
院	阜宀一兀
慘	心三厶人彡
訂	言丁
散	木月攴
松	木公
爸	父巴
喜	南豆口
洋	水羊
語	言五口
呈	口千土
治	水厶口
降	阜夂㐄
峯	山夂丰
漢	水堇
富	宀畐
姓	女生
料	米斗
嘎	口頁戈
結	糸士口
閃	門人
咬	口交
梅	木每
批	扌比
戶	戶
足	足
寧	宀心皿丁
爬	爪巴
醒	酉日生
狠	犬艮
逛	辵犬王
精	米青
瘦	疒申又
瘋	疒風
踩	足爪木
槍	木倉
誒	言厶矢
軟	車欠
偷	人俞
支	支
杜	木土
麗	麗
鞋	革土土
展	尸工衤
咧	口歹刀
興	廾同廾
依	人衣
倍	人丶不口
康	南尹⺍
堂	尚土
救	求攴
觀	艸口口隹見
鍵	金廴聿
製	牛木刀衣
餘	食余
冇	𠂇冂
筆	竹聿
音	音
世	世
著	艸者
仲	人中
舞	無舛
吖	口八丨
守	宀寸
露	雨足夂口
冒	冃目
昇	日升
唄	口貝
榮	火火冂木
弱	弓冫弓冫
影	日京彡
州	⺍巛
替	夫夫日
逼	辵畐
陸	阜屮宀土
曲	曲
願	厂白小頁
牙	牙
箱	竹木目
嚇	口赤赤
測	水貝刀
莊	艸爿士
寬	宀䒑目比
遍	辵戶冊
細	糸田
狀	爿犬
巴	巴
閒	門月
武	戈止
湖	水古月
聯	耳幺幺䒑
程	禾口千土
柳	木卯
偏	人戶冊
實	宀貫
印	爪卩
味	口未
鎖	金小貝
衆	血从
零	雨令
環	王目一口衤
角	角
紫	止匕糸
勒	革力
島	鳥山
耶	耳邑
熟	京京丮火
孔	子乚
寸	寸
標	木西示
歐	匚三口欠
厚	厂日子
答	竹亼口
社	示土
懶	心束刀貝
顧	戶隹頁
順	巛頁
滅	水戌火
運	辵九車
輪	車亼冊
兼	兼
溫	水圍人皿
娘	女良
登	癶豆
悶	門心
微	行長儿攴
佳	人土土
瞭	目一火日小
雅	牙隹
魔	麻鬼
司	司
拋	扌尢力
志	之心
奇	大可
編	糸戶冊
瓦	瓦
居	尸古
憑	冫馬心
盛	成皿
奶	女乃
虎	虎
后	𠂆口
洞	水同
台	厶口
形	井彡
佢	人巨
負	𠂊貝
川	巛
檔	木尚田
圓	圍口貝
牆	爿來圍口
囧	四冂
充	了儿
害	宀丰口
喂	口鬼人
免	象儿
景	日京
擬	扌旡大牛止
穩	禾爪工彐心
曹	曹
曉	日堯
煮	者火
良	良
蛋	疋虫
吐	口土
肥	月卩
仙	人山
宮	宀呂
碰	石並
酸	酉厶儿夂
侯	𠂊厂矢
塞	宀工廾土
嘍	口婁
脫	月公儿
勁	巠力
欠	欠
創	倉刀
擦	扌宀肉又示
爾	爾
藏	艸戈爿臣
皆	比白
屁	尸比
永	永
夫	夫
掙	扌爪尹
琴	王王今
錄	金彑
餵	食鬼人
稅	禾公儿
宏	宀𠂇厶
例	人歹刀
專	專
砍	石欠
視	示見
繼	糸刀四幺
兄	口儿
產	文厂生
善	善
增	土曾
施	㫃也
淚	水戶犬
暗	日音
忍	刀丶心
肯	止月
母	母
聖	耳口千土
橫	木黃
遊	辵㫃子
艾	艸乂
致	至夂
宗	宀示
偉	人韋
麻	麻
怒	女又心
扔	扌乃
爭	爪尹
游	水㫃子
鄧	癶豆邑
腰	月西女
嫩	女束攴
肖	小月
淨	水爪尹
罪	网非
仔	人子
彈	弓單
丑	丑
減	水戌口
敏	每攴
義	羊我
棒	木丰廾扌
臭	自犬
響	乡音
聞	門耳
拆	扌斥
蔡	艸肉又示
計	言十
絲	糸糸
校	木交
氏	氏
糖	米南尹口
吉	士口
押	扌甲
馮	冫馬
吵	口少
谷	谷
麥	來夂
衣	衣
宇	宀于
雜	衣木隹
末	末
潘	水釆田
告	牛口
旁	凡方
耐	而寸
董	艸重
榜	木凡方
醉	酉卒
鍾	金重
妹	女未
鋼	金网山
蔣	艸爿肉寸
幣	巾⺍攴巾
宜	宀且
尼	尸匕
灰	𠂇火
評	言平
維	糸隹
絕	糸刀卩
屋	尸至
幾	幺幺戈人
楚	木木疋
屆	尸土凵
館	食宀㠯
丹	丹
乘	禾北
認	言刀丶心
刻	亥刀
俊	人厶儿夂
芳	艸方
抄	扌少
夾	亦人
酷	酉牛口
京	京
嚴	口口厂敢
返	辵反
礦	石广黃
廳	广耳千土十目一心
魯	魚日
瑞	王屮而
仁	人二
飄	西示風
註	言主
添	水天心
催	人山隹
具	目廾
威	戌女
劇	虎豕刀
核	木亥
農	曲辰
瓶	并瓦
銅	金同
犯	犬卩
族	㫃矢
季	禾子
尋	彐工口寸
顯	日幺幺火頁
骨	骨
嘿	口黑
鏈	金辵車
擺	扌网厶肉比
擠	扌齊
黎	禾丿刀入水
騎	馬大可
密	宀必山
士	士
術	行术
炸	火乍
祇	示氏
洪	水共
訊	言乙十
腦	月巛囟
禮	示曲豆
容	穴公
輝	光九車
射	身寸
智	矢口日
索	十冂糸
聚	耳又从
拼	扌并
燕	燕
撞	扌童
膜	月屮日
普	並日
竹	竹竹
魏	禾女鬼
澤	水目幸
乜	㇕乚
側	人貝刀
諾	言艸𠂇口
呂	呂
范	艸水卩
搭	扌艸亼口
鳳	凡鳥
袁	土口衤
扯	扌止
鑽	金先先貝
彭	南豆彡
陰	阜今云
唸	口今心
薄	艸水甫寸
涼	水京
曰	甘
胃	田月
鹽	臣𠂉鹵皿
賴	束刀貝
獨	犬目勹虫
窩	穴咼
堆	土隹
赴	走卜
載	𢦏車
躲	身几木
孟	子皿
抵	扌氐
甜	舌甘
舉	廾牙廾扌
彩	爪木彡
甚	甘匚八
厄	厂卩
粗	米且
傑	人舛木
噸	口屯頁
慶	鹿㇕心夂
緣	糸彑豕
駐	馬主
申	申
衛	行韋
訓	言巛
念	今心
蕭	艸尹𣶒
惹	艸𠂇口心
帳	巾長
勸	艸口口隹力
讚	言先先貝
盒	亼口皿
逃	辵兆
嘉	南豆力口
納	糸内
升	升
倉	倉
姚	女兆
休	人木
症	疒正
斤	斤
功	工力
喇	口束刀
釦	金口
浪	水良
扣	扌口
泰	大廾水
忠	中心
梁	水刀八木
吸	口及
貝	貝
跨	足大亏
盧	虎田皿
森	三木
瞎	目宀丰口
卷	龹卩
于	于
井	井
針	金十
蛇	虫它
寺	之寸
購	貝魚魚
導	辵首寸
飲	食欠
噴	口屮貝
虛	虎丘
屏	尸并
優	人頁心夂
灌	水艸口口隹
埋	土里
略	田夂口
掃	扌彐冂巾
吶	口内
目	目
蒙	艸冃豕
託	言丿七
托	扌丿七
巧	工丂
淡	水火火
賤	貝戔
拜	手一丰
冬	夂冫
娜	女冄邑
懷	心衣目水
池	水也
敲	京口攴
凱	屮豆几
鐘	金童
愁	禾火心
鋪	金甫
薩	艸阜立厂生
揚	扌昜
勇	甬力
財	貝才
鍊	金柬
終	糸夂冫
質	斤斤貝
泥	水尸匕
昏	氏日
遇	辵禺
喬	丿大京口
欄	木門柬
鍋	金咼
巨	巨
儀	人羊我
遲	辵尸毛牛
怎	乍心
磨	麻石
呼	口乎
賭	貝者
液	水夜
泉	白水
嫁	女宀豕
捲	扌龹卩
汪	水王
稍	禾小月
薛	艸㠯辛
賈	西貝
豆	豆
頓	屯頁
旺	日王
儂	人曲辰
攻	工攴
祥	示羊
委	禾女
佐	人𠂇工
臨	臣𠂉三口
隔	阜鬲
繞	糸堯
輛	車一内内
崔	山隹
溝	水魚魚
碗	石宀夕卩
賠	貝丶不口
吻	口勿
健	人廴聿
速	辵束
失	失
雄	𠂇厶隹
胸	月勹乂凵
框	木匚王
鬥	鬥
暴	日出廾米
湊	水禾廾
陣	阜車
識	言音戈
娃	女土土
唯	口隹
漏	水尸雨
拔	扌犮
洛	水夂口
探	扌网木
碟	石世木
郎	良邑
珠	王朱
劑	齊刀
尿	尸水
透	辵禾乃
惠	專心
譚	言西日十
營	火火冂呂
府	广人寸
菲	艸非
叼	口㇕一
父	父
耳	耳
殘	歹戔
窗	穴囪
搜	扌申又
希	爻巾
患	中中心
尾	尸毛
播	扌釆田
岩	山石
逗	辵豆
廢	广癶
賢	臣又貝
限	阜艮
帝	帝
昌	昌
模	木屮日
磚	石專
扁	戶冊
舒	舍予
嫌	女兼
陶	阜勹缶
苗	艸田
剪	止舟刀刀
羽	羽羽
哩	口里
稿	禾京口
棟	木東
邦	丰邑
撿	扌亼口口从
玲	王令
驚	䒑勹口攴馬
坑	土亢
備	人𤰇
撥	扌癶
袋	人弋衣
趁	走人彡
妖	女丿大
甩	用乚
錦	金白巾
溼	水一幺幺土
琳	王木木
乙	乙
伴	人半
淺	水戔
尊	八酉寸
顏	文厂彡頁
匯	匚水隹
熬	敖火
吊	口巾
霜	雨木目
沿	水公
伯	人白
盜	水欠皿
浩	水牛口
剩	禾北刀
域	土戈口一
祖	示且
肺	月巿
附	阜人寸
制	牛木刀
玄	亠幺
置	网直
豪	京豕
恆	心二月
助	且力
濤	水耂工口寸
幽	幺幺山
欣	斤欠
豐	丰丰山豆
辣	辛束
煤	火甘木
戀	䜌心
圍	圍韋
瓜	瓜
諸	言者
俾	人卑
慧	丰丰彐心
墨	黑土
鮮	魚羊
鏡	金音儿
娶	耳又女
蝦	虫叚
犬	犬
鵬	朋鳥
誠	言成
賀	力口貝
險	阜亼口口从
飾	食𠂉巾
撐	扌尚牙
炎	火火
震	雨辰
鋒	金夂丰
遂	辵八豕
斌	文戈止
軒	車干
控	扌穴工
殼	南几殳
擋	扌尚田
覆	西行𠂉日夂
趟	走尚
禁	木木示
烤	火耂丂
盃	不皿
童	童
蟲	三虫
徵	行長千土攴
靚	青見
杯	木不
暨	食旡日一
晴	日青
魂	云鬼
益	水皿
庭	广廴千土
肝	月干
濃	水曲辰
坊	土方
晨	日辰
紀	糸己
振	扌辰
塵	鹿土
割	宀丰口刀
敗	貝攴
消	水小月
兆	兆
楓	木風
隆	阜夂一生
撤	扌了月攴
粥	弓米弓
馨	南厂殳香
誤	言吳
滑	水骨
噠	口辵土羊
曼	冃目又
暖	日爪二丿又
滬	水戶邑
己	己
止	止
柱	木主
塗	水余土
妻	一尹女
灣	水䜌弓
盾	盾
奔	奔
潤	水門王
政	正攴
爹	父多
尹	尹
廖	广羽人彡
刺	朿刀
冠	冃兀寸
躺	身尚
舍	舍
鑫	三金
蓮	艸辵車
售	隹口
獸	單口犬
婚	女氏日
攝	扌三耳
醫	匚矢殳酉
閣	門夂口
妞	女丑
邱	丘邑
兔	象比
敬	䒑勹口攴
潮	水屮日月
昂	日匕卩
飽	食勹巳
咳	口亥
邪	牙邑
促	人足
鼠	臼釆
葛	艸日勹亡
串	中中
桑	三又木
續	糸出网貝
苑	艸夕卩
迎	辵匕卩
弓	弓
碎	石卒
余	余
承	卩手廾
迪	辵由
膠	月羽人彡
烏	烏
牠	牛也
臣	臣
勤	堇力
摔	扌亠幺⺍十
撈	扌火火冂扌力
蒸	艸卩廾凵火
凌	冫屮宀夂
辛	辛
旗	㫃其
妙	女少
始	女厶口
符	竹人寸
倫	人亼冊
鋁	金呂
亭	京丁
吼	口子乚
云	云
研	石幵
咪	口米
俗	人谷
爺	父耳邑
啓	戶攴口
霧	雨矛夂力
珍	王人彡
卓	卜日十
韋	韋
歡	艸口口隹欠
嗨	口水每
積	禾丰貝
擡	扌之口冂至
捧	扌丰廾扌
鳴	口鳥
舔	舌天心
贊	先先貝
喃	口南
簡	竹門日
豔	丰丰山豆去皿
愈	俞心
溪	水爪幺大
罰	网言刀
歪	不正
晃	日光
斜	余斗
預	予頁
鄒	𠂇艸邑
崗	山网山
尤	𠂇
洲	水⺍巛
乎	乎
湘	水木目
罷	网厶肉比
軸	車由
妳	女尔
翔	羊羽
異	鬼廾
隱	阜爪工彐心
枝	木支
逸	辵象比
哄	口共
餐	歹又食
顆	果頁
鴨	甲鳥
染	水九木
餅	食并
粘	米卜口
藝	艸屮宀土丮云
炮	火勹巳
桌	卜日木
芬	艸分
鴻	水工鳥
攜	扌山隹内口
腎	臣又月
撲	扌业廾
萍	艸水平
晶	三日
勾	丩厶
戒	戈廾
桂	木土土
朗	良月
堵	土者
矣	厶矢
捐	扌口月
彎	䜌弓
薑	艸三田田
荷	艸人可
畝	亠田久
棉	木白巾
私	禾厶
擊	車凵殳手
姜	羊女
貸	人弋貝
嗲	口父多
傾	人匕頁
鼓	南豆支
霞	雨叚
瞧	目隹火
皇	白王
企	人止
互	互
沉	水冂几
箭	竹止舟刀
柏	木白
騰	朕馬
焦	隹火
憋	巾⺍攴心
潔	水丰刀糸
盟	日月皿
延	廴丿止
柔	矛木
資	二欠貝
粒	米立
嶺	山令頁
盆	分皿
檢	木亼口口从
護	言䒑隹又
眉	眉
傘	傘
碧	王白石
籍	竹耒昔
燙	水昜火
瑪	王馬
刮	舌刀
勿	勿
坤	土申
汁	水十
冊	冊
銘	金夕口
浴	水谷
翼	羽鬼廾
哲	扌斤口
涵	水矢凵
鈣	金刀亡
菌	艸圍禾
敵	帝口攴
桶	木甬
抹	扌末
判	半刀
寵	宀龍
紋	糸文
弟	弋弓
傅	人甫寸
衰	衣冄
譯	言目幸
柯	木可
叔	上小又
肩	戶月
殿	尸几几殳
番	釆田
驢	馬虎田皿
怡	心厶口
旭	九日
訪	言方
勢	屮宀土丮力
蒐	艸鬼
航	舟亢
妮	女尸匕
萊	艸來
坡	土皮
兇	乂凵儿
旅	㫃从
鷹	广人隹鳥
赤	赤
技	扌支
韻	音口貝
摘	扌帝口
翠	羽卒
邁	辵萬
孝	耂子
移	禾多
搖	扌肉缶
畢	畢
予	予
岳	丘山
屎	尸米
融	鬲虫
棋	木其
勞	火火冂力
採	扌爪木
鈕	金丑
扶	扌夫
介	介
渡	水广廿又
芯	艸心
奪	大隹寸
采	爪木
乳	爪子乚
拳	龹手
浜	水斤廾
齣	齒丩口
錫	金日勿
薇	艸行長儿攴
淫	水爪壬
拽	扌申丿
職	耳音戈
宅	宀丿七
掌	尚手
培	土丶不口
莉	艸禾刀
損	扌口貝
櫃	木匚廾貝
盼	目分
握	扌尸至
謀	言甘木
廟	广屮日月
截	𢦏隹
酶	酉每
孤	子瓜
壯	爿士
邵	刀口邑
墊	幸丮土
規	夫見
頗	皮頁
什	人十
宣	宀二回
妍	女幵
尖	小大
討	言寸
醋	酉昔
朵	几木
膽	月𠂊厂八言
穆	禾白小彡
姬	女臣
龜	龜
啃	口止月
漸	水車斤
耗	耒毛
息	自心
伍	人五
塘	土南尹口
壽	耂工口寸
逢	辵夂丰
闖	門馬
晉	晉
桃	木兆
壁	尸口辛土
霍	雨隹
爐	火虎田皿
漆	水木入水
暫	車斤日
虹	虫工
丸	丮
券	龹刀
獃	屮豆犬
辭	爪幺冂又辛
縫	糸辵夂丰
俱	人目廾
菊	艸勹米
奴	女又
岸	山厂干
凝	冫旡大牛止
膩	月弋二貝
芝	艸之
兮	八丂
脈	月巛卜
嚐	口尚旨
烈	歹刀火
矮	矢禾女
貪	今貝
婆	水皮女
俞	俞
蝶	虫世木
誇	言大亏
枕	木冂儿
毀	臼土殳
避	辵尸口辛
郝	赤邑
帕	巾白
綁	糸丰邑
悅	心公儿
浮	水爪子
盈	乃又皿
枚	木攴
材	木才
賞	尚貝
扎	扌乚
翁	公羽
幻	幺㇕
衫	衤彡
杆	木干
固	圍古
耀	光羽隹
槽	木曹
穴	穴
獻	虎鬲犬
幅	巾畐
審	宀釆田
斬	車斤
伸	人申
悲	非心
殷	身殳
茲	艸幺幺
穎	匕禾頁
萌	艸日月
斑	王文王
澡	水三口木
牽	亠幺冂牛
屈	尸出
娟	女口月
怨	夕卩心
癢	疒羊食
恐	工丮心
凍	冫東
複	衤𠂉日夂
柴	止匕木
逆	辵屰
僞	人爲
騷	馬又爪虫
渣	水木且
熙	臣巳火
抖	扌斗
忽	勿心
津	水聿
胎	月厶口
糧	米日一里
濟	水齊
參	三厶人彡
譜	言並日
准	冫隹
褲	衤广車
紮	木乚糸
摩	麻手
縮	糸宀人百
漫	水冃目又
溜	水卯田
彥	文厂彡
棄	了其廾
扇	戶羽
婷	女京丁
菸	艸於
脣	辰月
憂	頁心夂
堡	人口木土
淘	水勹缶
墓	屮日土
鹿	鹿
攢	扌先先貝
嬌	女丿大京口
遞	辵𠂆虎
彬	木木彡
蹭	足曾
卿	卩食卩
琪	王其
鶴	冂隹鳥
函	矢凵
確	石冂隹
